"behavior","flight_id","source_flight_object","radar_object","drone_object","radar_file","drone_file","radar_location_file","radar_site","radar_type","offset_GPS","configured_start_time","configured_end_time","drone_indices","detection_rate_include","positional_discrepancy_include","exclusion_notes"
"Foraging","Foraging_01","flight1","radar_0106_1246","drone_0106_1246","data/Dangermond 2026/9090RADAR_cleanedAndMatched_foraging/0106_1246_Foraging_Final.csv","data/Dangermond 2026/Air2/Foraging/Jan-6th-2026-12-46PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T20:46:53Z","2026-01-06T21:03:00Z","233:9900",TRUE,TRUE,
"Foraging","Foraging_02","flight2","radar_0106_0107","drone_0106_0107","data/Dangermond 2026/9090RADAR_cleanedAndMatched_foraging/0106_0107_Foraging_Final.csv","data/Dangermond 2026/Air2/Foraging/Jan-6th-2026-01-07PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T21:07:50Z","2026-01-06T21:21:50Z","213:8610",TRUE,TRUE,
"Foraging","Foraging_03","flight3","radar_0106_0124","drone_0106_0124","data/Dangermond 2026/9090RADAR_cleanedAndMatched_foraging/0106_0124_Foraging_Final.csv","data/Dangermond 2026/Air2/Foraging/Jan-6th-2026-01-24PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T21:25:04Z","2026-01-06T21:38:53Z","138:8430",TRUE,TRUE,
"Foraging","Foraging_04","flight4","radar_0106_0142","drone_0106_0142","data/Dangermond 2026/9090RADAR_cleanedAndMatched_foraging/0106_0142_Foraging_Final_noOmittedPoints.csv","data/Dangermond 2026/Air2/Foraging/Jan-6th-2026-01-42PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T21:42:36Z","2026-01-06T21:54:28Z","150:7266",TRUE,TRUE,
"Foraging","Foraging_05","flight5","radar_0106_0157","drone_0106_0157","data/Dangermond 2026/9090RADAR_cleanedAndMatched_foraging/0106_0157_Foraging_Final.csv","data/Dangermond 2026/Air2/Foraging/Jan-6th-2026-01-57PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T21:57:51Z","2026-01-06T22:15:37Z","155:10816",TRUE,TRUE,
"Foraging","Foraging_06","flight6","radar_0106_0220","drone_0106_0220","data/Dangermond 2026/9090RADAR_cleanedAndMatched_foraging/0106_0220_Foraging_Final.csv","data/Dangermond 2026/Air2/Foraging/Jan-6th-2026-02-20PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T22:20:30Z","2026-01-06T22:30:26Z","133:6094",TRUE,TRUE,
"DynoSoaring","DynoSoaring_01","flight1","radar_0106_0235","drone_0106_0235","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0235_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-02-35PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T22:36:46Z","2026-01-06T22:42:54Z","548:4228",TRUE,TRUE,
"DynoSoaring","DynoSoaring_02","flight2","radar_0106_0245","drone_0106_0245","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0245_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-02-45PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T22:46:37Z","2026-01-06T22:52:38Z","662:4269",TRUE,TRUE,
"DynoSoaring","DynoSoaring_03","flight3","radar_0106_0255","drone_0106_0255","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0255_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-02-55PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T22:56:28Z","2026-01-06T23:02:10Z","575:3995",TRUE,TRUE,
"DynoSoaring","DynoSoaring_04","flight4","radar_0106_0304","drone_0106_0304","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0304_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-03-04PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T23:04:54Z","2026-01-06T23:10:46Z","523:4034",TRUE,TRUE,
"DynoSoaring","DynoSoaring_05","flight5","radar_0106_0313","drone_0106_0313","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0313_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-03-13PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T23:14:47Z","2026-01-06T23:20:35Z","587:4065",TRUE,TRUE,
"DynoSoaring","DynoSoaring_06","flight6","radar_0106_0322","drone_0106_0322","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0322_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-03-22PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T23:23:27Z","2026-01-06T23:29:17Z","133:4580",TRUE,TRUE,
"DynoSoaring","DynoSoaring_08","flight8","radar_0106_0340","drone_0106_0340","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0340_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-03-40PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T23:41:56Z","2026-01-06T23:47:23Z","626:3894",TRUE,TRUE,
"DynoSoaring","DynoSoaring_09","flight9","radar_0106_0350","drone_0106_0350","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0350_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-03-50PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-06T23:51:01Z","2026-01-06T23:59:24Z","572:5598",TRUE,TRUE,
